Location,Latitude,Longitude,Free Bikes,Coordinates
IK Barber Learning Centre,49.267561,-123.252261,0,"(49.267561, -123.252261)"
Granville Island,49.27029,-123.135025,14,"(49.27029, -123.135025)"
6th & Prince Edward,49.265242,-123.095577,0,"(49.265242, -123.095577)"
Broughton & Davie,49.283749,-123.136133,0,"(49.283749, -123.136133)"
Adanac & Lakewood,49.27751,-123.061429,1,"(49.27751, -123.061429)"
Cypress & 10th,49.262944,-123.148109,0,"(49.262944, -123.148109)"
Thunderbird Parkade,49.261655,-123.241924,3,"(49.261655, -123.241924)"
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,12,"(49.285871, -123.12105)"
22nd & Cambie,49.251358,-123.115637,0,"(49.251358, -123.115637)"
Glen & Broadway,49.262242,-123.081459,11,"(49.262242, -123.081459)"
Stanley Park - Totem Poles,49.298657,-123.121176,0,"(49.298657, -123.121176)"
Davie & Beach,49.287528,-123.142139,19,"(49.287528, -123.142139)"
Pender & Gore,49.280284,-123.097052,6,"(49.280284, -123.097052)"
Richards & Davie,49.275683,-123.124388,0,"(49.275683, -123.124388)"
Pender & Commercial,49.280332,-123.070068,9,"(49.280332, -123.070068)"
18th & Cambie,49.254818,-123.114785,0,"(49.254818, -123.114785)"
2nd & Commercial,49.268616,-123.069908,2,"(49.268616, -123.069908)"
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,3,"(49.25478, -123.23621)"
Chilco & Robson,49.293257,-123.138563,16,"(49.293257, -123.138563)"
Keefer & Columbia,49.279342,-123.101822,10,"(49.279342, -123.101822)"
Rogers Tower,49.288682,-123.11818,14,"(49.288682, -123.11818)"
Woodland & Graveley,49.270684,-123.073562,0,"(49.270684, -123.073562)"
Cardero & Bayshore,49.291597,-123.129158,11,"(49.291597, -123.129158)"
Nelson & Denman,49.2890705989865,-123.138407369468,13,"(49.2890705989865, -123.138407369468)"
8th & Fraser,49.263382,-123.088837,1,"(49.263382, -123.088837)"
Balaclava & 6th,49.266924,-123.173849,14,"(49.266924, -123.173849)"
Cambie & Water,49.284605,-123.108662,30,"(49.284605, -123.108662)"
Helmcken & Burrard,49.279938,-123.127478,4,"(49.279938, -123.127478)"
Hornby & Pender,49.28602,-123.116624,20,"(49.28602, -123.116624)"
7th & Heather,49.265089,-123.119425,1,"(49.265089, -123.119425)"
Union & Dunlevy,49.277595,-123.09583,10,"(49.277595, -123.09583)"
Richards & Helmcken,49.277141,-123.122589,4,"(49.277141, -123.122589)"
Keefer & Abbott,49.279821,-123.10802,9,"(49.279821, -123.10802)"
8th & Prince Edward,49.263518,-123.09568,0,"(49.263518, -123.09568)"
